id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
560;fortune_teller;One of your decisions will kill thousands of innocents.;Seçimlerinizden biri binlerce masum kişiyi öldürecek.;Une de vos décisions va entraîner la mort de milliers d'innocents.;Una de vuestras decisiones traerá la muerte a miles de inocentes.;陛下のご決断のひとつが、+幾千もの罪なき人命を奪うでしょう。;폐하의 결정 중 하나가 수천의 무고한 인명을 죽일 것입니다.;你的一个决定会害死成千上万的无辜民众。;你的一個決定會害死成千上萬的無辜民眾。;Eine Eurer Entscheidungen wird Tausenden von Unschuldigen den Tod bringen.;Одно из ваших решений убьет тысячи невинных.;Una delle Vostre decisioni ucciderà migliaia di innocenti.;Uma de suas decisões matará milhares de inocentes.;Which one?;Hangisi?;Laquelle ?;¿Cuál de ellas?;どの決断だ？;어떤 결정인가?;哪一个抉择？;哪一個抉擇？;Welche?;Которое?;Quale?;Qual?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;fortune_teller;I see a thousand boats full of tall and burly men.;Uzun ve kaslı erkeklerle dolu binlerce tekne görüyorum.;Je vois des milliers de bateaux chargés d'hommes grands et forts.;Veo miles de barcos llenos de hombres fornidos.;幾千隻もの船が見えます。+いずれにも屈強そうな男たちが+大勢乗っています。;수천 척의 배가 보입니다.  모두 몸집 커다란 남자들이 가득 타고 있습니다.;我看到千艘满载魁梧战士的船。;我看到千艘滿載魁梧戰士的船。;Ich sehe tausend Boote, voll mit großen, kräftigen Männern.;Я вижу тысячи кораблей с высокими и крепкими мужами.;Vedo migliaia di navi piene di uomini alti e massicci.;Vejo mil barcos cheios de homens fortes.;General!;General!;Général !;¡General!;兵を派遣せよ！;병력을 파견하라!;将军！;將軍！;General!;Генерал!;Generale!;General!;;;;;;;;;;;;;We all have our fantasies;Herkes hayal kurar;Chacun ses fantasmes;Cada uno con sus fantasías;想像するのは自由だ;상상하는 것은 자유지.;我们都有各自的幻想;我們都有各自的幻想;Jeder hat seine Hirngespinste;Мало ли о чем мы фантазируем;Tutti abbiamo le nostre fantasie;Todos temos nossos desejos;;;;;;;;;;;;;
562;fortune_teller;Don't tell me! I see... ;Konuşmayın! Gördüğüm şey...;Ne me dis rien ! Je vois...;¡No me digas nada! Veo...;…なにもおっしゃらずに！+私には見える…;...아무 말씀도 하지 마세요! 제게는 보입니다...;别告诉我！+我看见了……;別告訴我！+我看見了……;Sagt nichts! Ich sehe ...;Не говорите мне! Я вижу…;Non ditemelo! Io vedo…;Não me diga! Eu vejo...;A King?;Bir Kral mı?;Un Roi ?;¿Un rey?;王か？;왕인가?;一个国王？;一個國王？;Einen König?;Короля?;Un Re?;Um rei?;;;;;;;;;;;;;A nobleman?;Bir soylu mu?;Un noble ?;¿Un noble?;諸侯か？;제후인가?;一个贵族？;一個貴族？;Einen Adligen?;Дворянина?;Un nobile?;Um nobre?;;;;;;;;;;;;;
563;fortune_teller;Full of glory and regal composure. In front of him lay...;Görkemli ve şahane bir duruşu var. Karşısında ise...;D'un maintien altier, fort de sa gloire. Devant lui, il y a... ;Lleno de gloria y real compostura. Frente a sí yace...;威厳に満ち、堂々とした居住まいの男…+その前方に見えるのは…;위엄으로 가득하고 당당한 남자... 그 앞에 보이는 것은...;意气风发，镇定自如。+在他面前躺着……;意氣風發，鎮定自如。+在他面前躺著……;Ruhmreich und von majestätischer Gelassenheit. Vor ihm liegt ...;Исполненного величия и королевского хладнокровия. Перед ним…;Pieno di gloria e dalla regale postura. Davanti a lui giace…;Cheio de glória e postura real. Na frente dele há...;A dog?;Bir köpek mi?;Un chien ?;¿Un perro?;犬？;개?;一只狗？;一只狗？;Ein Hund?;Собака?;Un cane?;Um cão?;;;;;;;;;;;;;Ruins?;Harabeler mi?;Des ruines ?;¿Unas ruinas?;廃虚？;폐허?;一座废墟？;一座廢墟？;Eine Ruine?;Руины?;Una rovina?;Ruínas?;;;;;;;;;;;;;
564;fortune_teller;With red eyes and a smirk. Here he comes again! The Devil!;Gözleri kızıl, ağzı ise sırıtıyor. İşte yine geliyor! Şeytan!;Avec des yeux rouges et une grimace. Le voilà à nouveau ! Le démon !;Con los ojos rojos y una sonrisa. ¡Ahí está de nuevo! ¡El demonio!;赤い瞳と含み笑い。+彼は再び現れる…+悪魔が再び訪れる！;붉은 눈동자와 웃음. 그가 다시 옵니다... 악마가 다시 나타날 겁니다!;带着猩红双眼和假笑。+他又回来了！恶魔！;帶著猩紅雙眼和假笑。+他又回來了！惡魔！;Mit roten Augen und einem Grinsen. Da ist er wieder! Der Teufel!;С красными глазами и ухмылкой на губах. Он придет вновь! Дьявол!;Con occhi rossi e un sorrisetto. Eccolo che torna! Il Diavolo!;Com olhos vermelhos e um sorriso. Aí vem ele! O Diabo!;Carry on!;Devam et!;Continue !;¡Continúa!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
565;fortune_teller;At the end of all things, the Islander will play his role.;Her şeyin sonunda, Adalı kendisine düşen rolü yerine getirecek.;À la fin de toutes choses, l'Ilien va jouer un rôle.;Al final, el isleño va a jugar su papel.;すべてが終わりを迎えるとき、+島の民がお役に立つでしょう。;모든 것이 끝을 맞이할 때 섬의 백성이 그 역할을 할 것입니다.;在万物终结之时，+岛民会尽其所职。;在萬物終結之時，+島民會盡其所職。;Schlussendlich wird der Insulaner seine Rolle spielen.;В конце концов, Островитянин сыграет свою роль.;Alla fine di tutto, l'isolano farà la sua parte.;No final de tudo, o homem da ilha cumprirá o papel dele.;Carry on!;Devam et!;Continue !;¡Continúa!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
566;fortune_teller;Full of glory and regal composure. In front of him lay...;Görkemli ve şahane bir duruşu var. Karşısında ise...;D'un maintien altier, fort de sa gloire. Devant lui, il y a... ;Lleno de gloria y real compostura. Frente a sí yace...;威厳に満ち、堂々とした居住まいの男…+その前方に見えるのは…;위엄으로 가득하고 당당한 남자... 그 앞에 보이는 것은...;意气风发，镇定自如。+在他面前躺着……;意氣風發，鎮定自如。+在他面前躺著……;Ruhmreich und von majestätischer Gelassenheit. Vor ihm liegt ...;Исполненного величия и королевского хладнокровия. Перед ним…;Pieno di gloria e dalla regale postura. Davanti a lui giace…;Cheio de glória e postura real. Na frente dele há...;A sword?;Bir kılıç mı?;Une épée ?;¿Una espada?;剣？;검?;一把剑？;一把劍？;Ein Schwert?;Меч?;Una spada?;Uma espada?;;;;;;;;;;;;;A woman?;Bir kadın mı?;Une femme ?;¿Una mujer?;女？;여자?;一个女人？;一個女人？;Eine Frau?;Женщина?;Una donna?;Uma mulher?;;;;;;;;;;;;;
567;fortune_teller;Bright and shiny. Forged from earth with fire, water and acid.;Cilalı ve parlak. Ateş, su ve asitle topraktan dövülmüş.;Lumineuse et acérée. Forgée de la terre avec le feu, l'eau et l'acide.;Luminosa y resplandeciente. Forjada entre la tierra y el fuego, el agua y el ácido.;まぶしく輝くその刃。+土を炎と水と酸にて鍛えし剣なり…;눈부시게 빛나는 그 날. 흙을 불, 물, 강산으로 단련한 검...;明亮又耀眼。+从泥土、火焰、水和酸中锻造而出。;明亮又耀眼。+從泥土、火焰、水和酸中鍛造而出。;Hell und glänzend. Geschmiedet aus Erde und Feuer, Wasser und Säure.;Яркий и сверкающий. Выкованный из земли, огня, воды и кислоты.;Luminosa e scintillante. Forgiata dalla terra con fuoco, acqua e acido.;Brilhante e limpa. Forjada da terra com fogo, água e ácido.;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
568;fortune_teller;She's quite nude and she's holding... Oh no, I can't look at that.;Ziyadesiyle çıplak ve elinde ise... Ah, yok, buna bakamam.;Elle est presque nue et tient dans sa main... Oh non, je ne veux pas voir ça.;Está más bien desnuda y tiene en la mano... Oh no, no puedo mirar algo así...;女は一糸まとわぬ姿で…その両腕に抱くのは…+ああ、これは私の見てはならぬものです！;여자는 실오라기 하나 걸치지 않은 모습으로...  그 두 팔에 안은 것은... 아, 이건 제가 보아서는 안 되겠군요!;她几乎全裸，手里还拿着……+噢不，我看不下去了。;她幾乎全裸，手裏還拿著……+噢不，我看不下去了。;Sie ist recht unbekleidet und hält ... Oh nein, das kann ich nicht sehen.;Она обнажена и держит… О, нет, я не могу смотреть на это.;È pressoché nuda e regge… Oh no, non posso guardare questa cosa.;Ela está nua e seguran... não, não posso olhar!;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
569;fortune_teller;She's hurt and her sorrows taste of blood.;Yaralanmış, tasalarında kan tadı var.;Elle est blessée et son chagrin a le goût du sang.;Está herida y sus penas tienen sabor a sangre.;彼女は傷ついている…+彼女の悲しみは、血の味がします…;그녀는 상처를 입었습니다... 그녀의 슬픔에서는 피 맛이 느껴집니다...;她受了伤+而且她的血满是悲伤的味道。;她受了傷+而且她的血滿是悲傷的味道。;Sie ist verletzt und ihre Sorgen schmecken nach Blut.;Она ранена, и у ее горя вкус крови.;È ferita e i suoi rimpianti hanno il sapore del sangue.;Ela está ferida e seus lamentos têm gosto de sangue.;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
570;fortune_teller;Laying dead on the floor, the mark of secrets on his forehead.;Yerde uzanmış, ölmüş, alnında sırların izi var.;Repose mort sur le sol, la marque des secrets sur son front.;Reposa sin vida en el suelo, la marca de sus secretos sobre su frente.;息絶え、横たわる男の額には、+秘密の印が刻まれています…;숨이 끊겨 누워있는 남자의 이마에는 비밀의 표시가 새겨져 있습니다...;他的尸体躺在地板上，+额头上印着神秘的标记。;他的屍體躺在地板上，+額頭上印著神秘的標記。;Tot am Boden liegend, das Zeichen von Geheimnissen auf der Stirn.;Мертвый лежит на полу, с метками тайн на лбу.;Giace a terra senza vita, il marchio dei segreti sulla fronte.;Morto no chão, com marcas de segredos na testa.;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
571;fortune_teller;Rich of money but poor of taste. He talks to...;Parası bol, zevki yok. Konuştuğu kişi..;Riche d'argent mais pauvre de goût. Il parle à...;Abundante en dinero pero pobre en gusto. Habla con...;懐は豊かだがセンスには乏しい…+その男が言葉を交わす相手は…;재산은 많지만 취향은 빈곤한... 그 남자가 말을 주고받는 상대는...;腰缠万贯但品味很烂。+和他对话的人是……;腰纏萬貫但品味很爛。+和他對話的人是……;Reich an Geld, aber arm an Geschmack. Er spricht mit ...;У него много золота, но мало вкуса. Он говорит с…;Ricco di denaro, ma povero di gusto. Parla con…;Rico de dinheiro e pobre de gosto. Ele fala com...;A hooded figure?;Başlıklı birisi mi?;Une personne invisible ?;¿Una persona invisible?;フードをかぶった人物？;후드를 쓴 자?;一个戴兜帽的身影？;一個戴兜帽的身影？;Einer verhüllten Gestalt?;Фигурой в капюшоне?;Una figura incappucciata?;Uma figura encapuzada?;;;;;;;;;;;;;A bird?;Bir kuş mu?;Un oiseau ?;¿Un pájaro?;鳥？;새?;一只鸟？;一只鳥？;Einem Vogel?;С птицей?;Un uccello?;Uma ave?;;;;;;;;;;;;;
572;fortune_teller;The Senator!;Senatör!;Le Sénateur !;¡El senador!;…元老院議員！;...원로원 의원입니다!;议员！;議員！;Der Senator!;С Сенатором!;Il Senatore!;O Senador!;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
573;fortune_teller;Beware the black bird, it never brings you good news.;Kara kuştan korkun. İyi haber getirmeyecek.;Méfie-toi de l'oiseau noir, il n'apporte jamais de bonnes nouvelles.;No te fíes del pájaro negro, nunca trae buenas noticias.;黒歌鳥にはご注意を。+凶報しかもたらしませぬゆえ。;검은 새를 조심하십시오. 나쁜 소식만을 가져옵니다.;小心黑鸟，+它从来不会带来好消息。;小心黑鳥，+它從來不會帶來好消息。;Nehmt Euch in Acht vor dem schwarzen Vogel, er bringt Euch nie gute Neuigkeiten.;Опасайтесь черной птицы, она никогда не принесет вам хороших новостей.;Attenzione all'uccello nero, non porta mai buone notizie.;Cuidado com o pássaro negro. Ele não trará boas notícias.;Carry on!;Devam et!;Continue !;¡Continua!;続けよ！;계속하라!;继续说！;繼續說！;Macht weiter!;Продолжай!;Continua!;Continue!;;;;;;;;;;;;;Enough;Yeter;Assez;Basta;もうよい;이제 됐네.;够了;夠了;Genug;Достаточно;Basta;Chega;;;;;;;;;;;;;
574;fortune_teller;That will be 600 gold pieces.;Borcunuz 600 altın.;Ce sera 600 pièces d'or.;Serán 600 monedas de oro.;しめて600ゴールドになります。;도합 600 골드입니다.;这需要花费 600 金币。;這需要花費 600 金幣。;Das macht 600 Goldstücke.;С вас 600 золотых монет.;Fanno 600 pezzi d'oro.;São 600 peças de ouro.;;;;;;;;;;;;;;;;;;;;;;;;;No, you're a crook;Hayır, sen bir sahtekarsın;Escroc;Escoria;断る。このペテン師め;사절한다. 이 사기꾼.;不，你是个骗子;不，你是個騙子;Nein, Ihr seid ein Gauner;Это просто мошенничество!;No, sei una truffatrice;Não, você é um vigarista;;;;;;;;;;;;;
575;ghost;Are you the young <*King*>?;Genç <*Kral*> sen misin?;Es-tu le jeune <*Roi*> ?;¿Eres tú el joven <*Rey*>?;お前が、若き<*王*>か？;그대가 젊은 <*왕*>인가?;你就是那位年轻的<*国王*>吗？;你就是那位年輕的<*國王*>嗎？;Seid Ihr der junge <*König*>?;Ты — молодой <*Король*>?;Siete il giovane <*Re*>?;Você é o jovem <*Rei*>?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;ghost;I only talk to the King. If you're not the King, I'm going back to sleep.;Ben sadece Kral ile konuşurum. Eğer Kral sen değilsen, o vakit uykuya dönüyorum.;Je ne parle qu'au Roi. Si tu n'es pas le Roi, je retourne me coucher.;Yo solo hablo con el rey. Si no eres él, ve a acostarte.;王以外に用はない。+お前が王でないのなら、+われは再び眠りにつこう。;왕 이외에 용무는 없다.  네가 왕이 아니라면 나는 다시 잠이나 자러 가지.;我只和国王说话。+如果你不是国王，+那我就要回去睡觉了。;我只和國王說話。+如果你不是國王，+那我就要回去睡覺了。;Ich rede nur mit dem König. Wenn Ihr nicht der König seid, gehe ich wieder schlafen.;Я буду говорить только с королем. Если ты не король, я пойду обратно спать.;Io parlo solo con il Re. Se non siete il Re, me ne torno a dormire.;Eu só falarei com o rei. Se você não é o rei, voltarei a dormir.;Good night;İyi geceler;Bonne nuit;Buenas noches;そうするがよい;그렇게 하게.;晚安;晚安;Gute Nacht;Спокойной ночи;Buonanotte;Boa noite;<i>The spirit looks at you thoughtfully then disappears. You enter the throne room.</i>;<i>Ruh size dikkatlice bakıyor, sonra da kayboluyor. Taht odasına giriyorsunuz.</i>;<i>L'esprit vous regarde en silence puis disparaît. Vous entrez dans la salle du trône.</i>;<i>El espíritu os mira en silencio y desaparece. Entráis en la sala del trono.</i>;<i>亡霊は王をまじまじと見つめ、姿を消した。+王は謁見の間に入っていった。</i>;<i>망령은 왕을 물끄러미 바라보다 사라졌다. 왕은 알현실에 들어갔다. </i>;<i>（幽灵若有所思地看了看你，+便消失了。+你步入王座室。）</i>;<i>（幽靈若有所思地看了看你，+便消失了。+你步入王座室。）</i>;<i>Der Geist sieht Euch nachdenklich an und verschwindet. Ihr kehrt in den Thronsaal zurück.</i>;<i>Призрак смотрит на вас задумчиво, затем исчезает. Вы входите в тронный зал.</i>;<i>Lo spirito Vi osserva pensoso, poi scompare. Entrate nella sala del trono.</i>;<i>O espírito olha para você de forma pensativa e desaparece. Você entra na sala do trono.</i>;I am the King;Kral benim;Je suis le Roi;Soy el Rey;余は王である;짐이 왕이다.;我就是国王;我就是國王;Ich bin der König;Я — Король;Sono io il Re;Eu sou o rei;;;;;;;;;;;;;
